txn_id,date,amount,merchant,description
TXN1070,2026-10-09,6573.69,Om Traders,Card settlement batch 4
TXN1023,2026-08-23,15983.96,Ganesh Sweets,NEFT settlement batch
TXN1024,2026-08-24,6346.83,Nova Fashion Hub,Card settlement batch
TXN1061,2026-09-30,13302.11,Local Mart,TXN1061 UPI settlement
TXN1050,2026-09-19,28637.57,Local Mart,International Card settlement batch
TXN1062,2026-10-01,4372.2,Bright Stationery,TXN1062 UPI settlement
TXN1056,2026-09-25,7791.32,Rani Bakery,UPI settlement batch
TXN1104,2026-11-10,3884.8,Ganesh Sweets,TXN1104 settlement pending
TXN1088,2026-10-25,-669.96,Ganesh Sweets,TXN1088 refund issued to customer
TXN1016,2026-08-16,13935.4,Bright Stationery,Card settlement batch
TXN1038,2026-09-07,22795.57,Om Traders,Credit Card settlement batch
TXN1090,2026-10-27,5631.83,Sharma Electronics,TXN1090 original sale settlement
TXN1012,2026-08-12,2590.82,Om Traders,Card settlement batch
TXN1082,2026-10-21,15651.42,Om Traders,TXN1082 large order settlement
TXN1026,2026-08-26,17209.97,Kavya Textiles,UPI settlement batch
TXN1025,2026-08-25,6967.71,Ganesh Sweets,UPI settlement batch
TXN1029,2026-08-29,21946.28,Verma Pharmacy,UPI settlement batch
TXN1064,2026-10-03,14691.78,Ganesh Sweets,TXN1064 UPI settlement
TXN1015,2026-08-15,3383.21,Singh Auto Parts,UPI settlement batch
TXN1103,2026-11-09,10750.95,Ganesh Sweets,TXN1103 settlement pending
TXN1074,2026-10-13,6331.11,Nova Fashion Hub,UPI settlement batch 8
TXN1030,2026-08-30,16489.34,Singh Auto Parts,NEFT settlement batch
TXN1005,2026-08-05,2614.27,Sharma Electronics,NEFT settlement batch
TXN1101,2026-11-07,1810.59,Verma Pharmacy,TXN1101 settlement pending
TXN1055,2026-09-24,12374.92,Rani Bakery,UPI settlement batch
TXN1102,2026-11-08,1729.05,Bright Stationery,TXN1102 settlement pending
TXN1096,2026-11-02,524.79,Local Mart,TXN1096 settlement
TXN1093,2026-10-30,10443.48,Om Traders,TXN1093 settlement
TXN1066,2026-10-05,4545.61,Ganesh Sweets,Wire settlement batch 0
TXN1078,2026-10-17,1867.72,Singh Auto Parts,TXN1078 settlement
TXN1003,2026-08-03,18490.84,Ganesh Sweets,UPI settlement batch
