ledger_txn_id,settlement_payout_ref,merchant_id,gross,fee,net,tier,confidence
TXN1023,STL1023,Ganesh Sweets,15983.96,0.0,15983.96,tier1_exact_id,1.0
TXN1024,STL1024,Nova Fashion Hub,6346.83,0.0,6346.83,tier1_exact_id,1.0
TXN1061,STL1061,Local Mart,13302.09,0.0,13302.09,tier1_exact_id,1.0
TXN1062,STL1062,Bright Stationery,4372.24,0.0,4372.24,tier1_exact_id,1.0
TXN1088,STL1093,Ganesh Sweets,-669.96,0.0,-669.96,tier1_exact_id,1.0
TXN1016,STL1016,Bright Stationery,13935.4,0.0,13935.4,tier1_exact_id,1.0
TXN1090,STL1095,Sharma Electronics,5631.83,0.0,5631.83,tier1_exact_id,1.0
TXN1012,STL1012,Om Traders,2590.82,0.0,2590.82,tier1_exact_id,1.0
TXN1026,STL1026,Kavya Textiles,17209.97,0.0,17209.97,tier1_exact_id,1.0
TXN1025,STL1025,Ganesh Sweets,6967.71,0.0,6967.71,tier1_exact_id,1.0
TXN1029,STL1029,Verma Pharmacy,21946.28,0.0,21946.28,tier1_exact_id,1.0
TXN1064,STL1064,Ganesh Sweets,14691.8,0.0,14691.8,tier1_exact_id,1.0
TXN1015,STL1015,Singh Auto Parts,3383.21,0.0,3383.21,tier1_exact_id,1.0
TXN1030,STL1030,Singh Auto Parts,16489.34,0.0,16489.34,tier1_exact_id,1.0
TXN1005,STL1005,Sharma Electronics,2614.27,0.0,2614.27,tier1_exact_id,1.0
TXN1096,STL1103,Local Mart,524.79,0.0,524.79,tier1_exact_id,1.0
TXN1093,STL1100,Om Traders,10443.48,0.0,10443.48,tier1_exact_id,1.0
TXN1078,STL1081B,Singh Auto Parts,1867.72,0.0,1867.72,tier1_exact_id,1.0
TXN1003,STL1003,Ganesh Sweets,18490.84,0.0,18490.84,tier1_exact_id,1.0
TXN1004,STL1004,Kavya Textiles,14885.17,0.0,14885.17,tier1_exact_id,1.0
TXN1079,STL1083B,Singh Auto Parts,5637.31,0.0,5637.31,tier1_exact_id,1.0
TXN1022,STL1022,Om Traders,6894.35,0.0,6894.35,tier1_exact_id,1.0
TXN1014,STL1014,Nova Fashion Hub,20236.07,0.0,20236.07,tier1_exact_id,1.0
TXN1019,STL1019,Om Traders,21426.35,0.0,21426.35,tier1_exact_id,1.0
TXN1018,STL1018,Local Mart,16633.2,0.0,16633.2,tier1_exact_id,1.0
TXN1076,STL1077B,Nova Fashion Hub,4023.46,0.0,4023.46,tier1_exact_id,1.0
TXN1008,STL1008,Bright Stationery,5744.88,0.0,5744.88,tier1_exact_id,1.0
TXN1007,STL1007,Ganesh Sweets,17985.68,0.0,17985.68,tier1_exact_id,1.0
TXN1063,STL1063,Nova Fashion Hub,2199.18,0.0,2199.18,tier1_exact_id,1.0
TXN1001,STL1001,Kavya Textiles,16093.84,0.0,16093.84,tier1_exact_id,1.0
